"polugodiste","ucenika sa izostancima","ucenika bez izostanaka","ucenika sa opravdanim","broj opravdanih","ucenika sa neopravdanim","broj neopravdanih","ucenika sa neregulisanim","broj neregulisanih","ukupno izostanaka","broj izostanaka po uceniku","godina","odeljenje","pandemija"
1,"27","3","27","883","1","2","0","0","885","29.5","I","1",TRUE
2,"28","2","27","756","8","12","0","0","768","25.6","I","1",TRUE
0,"29","1","29","1639","9","14","0","0","1653","55.1","I","1",TRUE
1,"22","9","22","346","0","0","0","0","346","11.16","I","2",TRUE
2,"28","3","27","535","5","13","0","0","548","17.68","I","2",TRUE
0,"28","3","28","881","5","13","0","0","894","28.84","I","2",TRUE
1,"25","5","25","478","2","2","0","0","480","16","I","3",TRUE
2,"28","2","28","851","10","22","0","0","873","29.1","I","3",TRUE
0,"30","0","30","1329","11","24","0","0","1353","45.1","I","3",TRUE
1,"19","11","19","370","1","2","0","0","372","12.4","I","4",TRUE
2,"30","0","30","759","17","35","0","0","794","26.47","I","4",TRUE
0,"30","0","30","1129","17","37","0","0","1166","38.87","I","4",TRUE
1,"19","11","19","564","4","9","0","0","573","19.1","I","5",TRUE
2,"26","4","26","597","8","11","0","0","608","20.27","I","5",TRUE
0,"27","3","27","1161","10","20","0","0","1181","39.37","I","5",TRUE
1,"20","9","20","638","5","8","0","0","646","22.28","I","6",TRUE
2,"25","4","24","849","15","29","0","0","878","30.28","I","6",TRUE
0,"25","4","24","1487","15","37","0","0","1524","52.55","I","6",TRUE
1,"25","4","25","513","10","15","0","0","528","18.21","I","7",TRUE
2,"28","1","27","793","12","22","0","0","815","28.1","I","7",TRUE
0,"29","0","28","1306","17","37","0","0","1343","46.31","I","7",TRUE
1,"21","8","21","410","3","4","0","0","414","14.28","I","8",TRUE
2,"27","2","27","771","7","15","0","0","786","27.1","I","8",TRUE
0,"28","1","28","1181","7","19","0","0","1200","41.38","I","8",TRUE
1,"26","4","25","604","5","5","0","0","609","20.3","I","9",TRUE
2,"27","3","26","790","15","20","0","0","810","27","I","9",TRUE
0,"29","1","28","1394","15","25","0","0","1419","47.3","I","9",TRUE
1,"14","3","14","287","0","0","0","0","287","16.88","I","BH",TRUE
2,"16","1","16","772","1","1","0","0","773","45.47","I","BH",TRUE
0,"16","1","16","1059","1","1","0","0","1060","62.35","I","BH",TRUE
1,"15","4","15","244","5","7","0","0","251","13.21","I","Si1",TRUE
2,"19","0","19","444","10","24","0","0","468","24.63","I","Si1",TRUE
0,"19","0","19","688","11","31","0","0","719","37.84","I","Si1",TRUE
1,"18","1","18","224","0","0","0","0","224","11.79","I","Si2",TRUE
2,"18","1","18","378","9","17","0","0","395","20.79","I","Si2",TRUE
0,"19","0","19","602","9","17","0","0","619","32.58","I","Si2",TRUE
1,"16","5","16","213","6","9","0","0","222","10.57","I","Si3",TRUE
2,"21","0","21","302","6","24","0","0","326","15.52","I","Si3",TRUE
0,"21","0","21","515","9","33","0","0","548","26.1","I","Si3",TRUE
1,"12","2","12","332","1","1","0","0","333","23.79","I","sm",TRUE
2,"12","2","12","253","1","1","0","0","254","18.14","I","sm",TRUE
0,"12","2","12","585","2","2","0","0","587","41.93","I","sm",TRUE
1,"30","0","30","773","8","14","0","0","787","26.23","II","1",TRUE
2,"30","0","30","1010","14","51","1","1","1062","35.4","II","1",TRUE
0,"30","0","30","1783","17","65","1","1","1849","61.63","II","1",TRUE
1,"24","7","24","443","0","0","0","0","443","14.29","II","2",TRUE
2,"28","3","27","750","13","24","0","0","774","24.97","II","2",TRUE
0,"30","1","29","1193","13","24","0","0","1217","39.26","II","2",TRUE
1,"28","2","28","604","12","12","0","0","616","20.53","II","3",TRUE
2,"28","2","27","754","19","37","0","0","791","26.37","II","3",TRUE
0,"29","1","29","1358","23","49","0","0","1407","46.9","II","3",TRUE
1,"30","2","30","684","1","3","0","0","687","21.47","II","4",TRUE
2,"32","0","32","1252","5","27","0","0","1279","39.97","II","4",TRUE
0,"32","0","32","1936","5","30","0","0","1966","61.44","II","4",TRUE
1,"27","4","26","758","11","18","0","0","776","25.03","II","5",TRUE
2,"30","1","29","940","21","47","0","0","987","31.84","II","5",TRUE
0,"30","1","30","1698","25","65","0","0","1763","56.87","II","5",TRUE
1,"30","1","30","806","16","35","0","0","841","27.13","II","6",TRUE
2,"31","0","31","1217","20","33","2","2","1252","40.39","II","6",TRUE
0,"31","0","31","2023","23","68","2","2","2093","67.52","II","6",TRUE
1,"28","2","28","753","0","0","0","0","753","25.1","II","7",TRUE
2,"30","0","30","1313","22","41","3","3","1357","45.23","II","7",TRUE
0,"30","0","30","2066","22","41","3","3","2110","70.33","II","7",TRUE
1,"24","8","24","543","8","12","0","0","555","17.34","II","8",TRUE
2,"27","5","27","707","12","33","0","0","740","23.13","II","8",TRUE
0,"31","1","31","1250","14","45","0","0","1295","40.47","II","8",TRUE
1,"24","6","24","438","1","1","0","0","439","14.63","II","9",TRUE
2,"27","3","27","886","10","18","0","0","904","30.13","II","9",TRUE
0,"27","3","27","1324","10","19","0","0","1343","44.77","II","9",TRUE
1,"17","3","17","363","5","9","0","0","372","18.6","II","BH",TRUE
2,"17","3","17","405","10","28","0","0","433","21.65","II","BH",TRUE
0,"19","1","19","768","10","37","0","0","805","40.25","II","BH",TRUE
1,"18","2","18","310","3","5","0","0","315","15.75","II","SI1",TRUE
2,"20","0","20","529","12","38","0","0","567","28.35","II","SI1",TRUE
0,"20","0","20","839","12","43","0","0","882","44.1","II","SI1",TRUE
1,"19","2","19","302","3","4","0","0","306","14.57","II","SI2",TRUE
2,"21","0","21","391","6","8","0","0","399","19","II","SI2",TRUE
0,"21","0","21","693","9","12","0","0","705","33.57","II","SI2",TRUE
1,"14","5","14","213","0","0","0","0","213","11.21","II","SM",TRUE
2,"18","1","18","292","5","13","0","0","305","16.05","II","SM",TRUE
0,"18","1","18","505","5","13","0","0","518","27.26","II","SM",TRUE
1,"23","7","22","477","7","9","0","0","486","16.2","III","1",TRUE
2,"28","2","27","686","16","24","0","0","710","23.67","III","1",TRUE
0,"28","2","28","1163","17","33","0","0","1196","39.87","III","1",TRUE
1,"28","2","27","513","17","29","0","0","542","18.07","III","2",TRUE
2,"30","0","30","973","20","31","0","0","1004","33.47","III","2",TRUE
0,"30","0","30","1486","22","60","0","0","1546","51.53","III","2",TRUE
1,"26","4","25","872","13","19","0","0","891","29.7","III","3",TRUE
2,"29","1","29","1425","22","61","0","0","1486","49.53","III","3",TRUE
0,"30","0","30","2297","23","80","0","0","2377","79.23","III","3",TRUE
1,"25","6","25","481","10","15","0","0","496","16","III","4",TRUE
2,"28","3","27","567","20","32","0","0","599","19.32","III","4",TRUE
0,"29","2","28","1048","21","47","0","0","1095","35.32","III","4",TRUE
1,"27","2","27","929","12","27","0","0","956","32.97","III","5",TRUE
2,"28","1","28","1120","18","28","0","0","1148","39.59","III","5",TRUE
0,"28","1","28","2049","22","55","0","0","2104","72.55","III","5",TRUE
1,"32","0","31","774","29","41","0","0","815","25.47","III","6",TRUE
2,"32","0","32","1220","26","39","0","0","1259","39.34","III","6",TRUE
0,"32","0","32","1994","30","80","0","0","2074","64.81","III","6",TRUE
1,"23","4","23","313","4","5","0","0","318","11.78","III","7",TRUE
2,"24","3","24","618","14","28","0","0","646","23.93","III","7",TRUE
0,"27","0","27","931","14","33","0","0","964","35.7","III","7",TRUE
1,"27","3","27","581","8","13","0","0","594","19.8","III","8",TRUE
2,"28","2","28","803","20","58","1","1","862","28.73","III","8",TRUE
0,"30","0","30","1384","20","71","1","1","1456","48.53","III","8",TRUE
1,"21","9","21","268","1","1","0","0","269","8.97","III","9",TRUE
2,"30","0","30","970","17","39","0","0","1009","33.63","III","9",TRUE
0,"30","0","30","1238","17","40","0","0","1278","42.6","III","9",TRUE
1,"19","0","19","691","10","35","0","0","726","38.21","III","si",TRUE
2,"19","0","19","838","13","42","0","0","880","46.32","III","si",TRUE
0,"19","0","19","1529","15","77","0","0","1606","84.53","III","si",TRUE
1,"17","1","17","895","4","14","0","0","909","50.5","III","sm",TRUE
2,"17","1","17","964","1","1","0","0","965","53.61","III","sm",TRUE
0,"17","1","17","1859","5","15","0","0","1874","104.11","III","sm",TRUE
1,"31","1","29","709","20","35","0","0","744","23.25","IV","1",TRUE
2,"29","3","28","595","24","49","0","0","644","20.13","IV","1",TRUE
0,"31","1","30","1304","27","84","0","0","1388","43.38","IV","1",TRUE
1,"25","5","25","639","11","14","0","0","653","21.77","IV","2",TRUE
2,"28","2","28","839","18","44","0","0","883","29.43","IV","2",TRUE
0,"28","2","28","1478","20","58","0","0","1536","51.2","IV","2",TRUE
1,"27","3","27","1061","8","41","0","0","1102","36.73","IV","3",TRUE
2,"27","3","27","925","23","59","0","0","984","32.8","IV","3",TRUE
0,"27","3","27","1986","23","100","0","0","2086","69.53","IV","3",TRUE
1,"27","4","27","521","7","16","0","0","537","17.32","IV","4",TRUE
2,"26","5","24","370","12","16","0","0","386","12.45","IV","4",TRUE
0,"29","2","29","891","14","32","0","0","923","29.77","IV","4",TRUE
1,"29","1","29","869","15","23","0","0","892","29.73","IV","5",TRUE
2,"29","1","29","976","5","6","0","0","982","32.73","IV","5",TRUE
0,"30","0","30","1845","16","29","0","0","1874","62.47","IV","5",TRUE
1,"27","2","27","711","22","73","0","0","784","27.03","IV","6",TRUE
